@RELATION Moviment-Analysis
@ATTRIBUTE	user	{AndersonJose, Francisco, AndersonSantos}
@ATTRIBUTE	joint	{LeftHand, RightHand, LeftFoot, RightFoot}
@ATTRIBUTE	TIME	NUMERIC
@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	z	NUMERIC
@ATTRIBUTE	class	{lento, normal}

@DATA
Controle 10,Head,0,180.5992,378.2079,-2712.705,Healthy
Controle 10,Neck,3,175.8287,174.6261,-2703.227,Healthy
Controle 10,Torso,3,167.9989,-166.5778,-2614.287,Healthy
Controle 10,Waist,3,175.258,-209.7807,-2544.274,Healthy
Controle 10,LeftShoulder,3,-36.88128,97.9305,-2656.622,Healthy
Controle 10,LeftElbow,3,-300.6554,154.0343,-2560.794,Healthy
Controle 10,LeftWrist,4,-538.1196,273.008,-2453.432,Healthy
Controle 10,LeftHand,4,-634.4376,337.3185,-2392.139,Healthy
Controle 10,RightShoulder,4,364.8935,54.94154,-2700.19,Healthy
Controle 10,RightElbow,4,447.5719,-231.6243,-2648.898,Healthy
Controle 10,RightWrist,4,532.621,-467.5945,-2480.231,Healthy
Controle 10,RightHand,4,540.4421,-545.2368,-2431.067,Healthy
Controle 10,LeftHip,4,85.43915,-286.0175,-2493.843,Healthy
Controle 10,LeftKnee,4,105.2283,-689.3504,-2401.398,Healthy
Controle 10,LeftFoot,5,173.6541,-1109.328,-2268.811,Healthy
Controle 10,RightHip,5,265.3924,-301.1528,-2520.104,Healthy
Controle 10,RightKnee,5,301.2065,-705.1279,-2411.535,Healthy
Controle 10,RightFoot,5,272.7833,-1117.938,-2257.455,Healthy
Controle 10,Head,66,179.229,378.6454,-2712.17,Healthy
Controle 10,Neck,66,173.6834,174.335,-2702.451,Healthy
Controle 10,Torso,66,167.7866,-166.5887,-2614.498,Healthy
Controle 10,Waist,66,175.158,-209.846,-2544.539,Healthy
Controle 10,LeftShoulder,67,-38.08278,96.36836,-2656.058,Healthy
Controle 10,LeftElbow,67,-300.853,152.2336,-2559.44,Healthy
Controle 10,LeftWrist,67,-567.566,289.9299,-2431.427,Healthy
Controle 10,LeftHand,67,-634.5568,337.2749,-2393.162,Healthy
Controle 10,RightShoulder,67,363.9847,55.26392,-2700.633,Healthy
Controle 10,RightElbow,67,447.0984,-230.61,-2650.496,Healthy
Controle 10,RightWrist,67,531.0607,-463.7064,-2479.375,Healthy
Controle 10,RightHand,68,538.0803,-541.0582,-2424.835,Healthy
Controle 10,LeftHip,68,85.44063,-286.1175,-2494.014,Healthy
Controle 10,LeftKnee,68,105.5937,-689.2927,-2401.818,Healthy
Controle 10,LeftFoot,68,173.1137,-1109.47,-2268.877,Healthy
Controle 10,RightHip,68,265.4671,-301.2676,-2520.866,Healthy
Controle 10,RightKnee,69,302.3966,-712.2674,-2410.897,Healthy
Controle 10,RightFoot,69,272.4613,-1117.195,-2256.405,Healthy
Controle 10,Head,187,169.786,376.3496,-2708.393,Healthy
Controle 10,Neck,187,169.9373,173.1307,-2701.03,Healthy
