@RELATION Moviment-Analysis
@ATTRIBUTE	user	{AndersonJose, Francisco, AndersonSantos}
@ATTRIBUTE	joint	{LeftHand, RightHand, LeftFoot, RightFoot}
@ATTRIBUTE	TIME	NUMERIC
@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	z	NUMERIC
@ATTRIBUTE	class	{lento, normal}

@DATA
Normal-16,Head,0,-327.8282,720.4201,-1816.431,Normal
Normal-16,Neck,0,-317.1969,541.3472,-1835.704,Normal
Normal-16,Torso,0,-310.1551,185.2195,-1823.28,Normal
Normal-16,Waist,0,-305.013,126.4289,-1764.18,Normal
Normal-16,LeftShoulder,1,-507.8083,460.7737,-1832.133,Normal
Normal-16,LeftElbow,1,-725.9916,509.0863,-1807.303,Normal
Normal-16,LeftWrist,1,-866.3885,670.3923,-1728.566,Normal
Normal-16,LeftHand,1,-906.662,720.3108,-1724.34,Normal
Normal-16,RightShoulder,1,-145.1241,447.431,-1852.944,Normal
Normal-16,RightElbow,1,-0.1314036,230.3745,-1855.365,Normal
Normal-16,RightWrist,1,86.37799,3.810578,-1736.94,Normal
Normal-16,RightHand,1,99.07346,-67.87347,-1719.644,Normal
Normal-16,LeftHip,1,-382.3232,45.64561,-1739.955,Normal
Normal-16,LeftKnee,1,-422.6174,-357.7784,-1723.624,Normal
Normal-16,LeftFoot,1,-433.4498,-673.4744,-1636.443,Normal
Normal-16,RightHip,1,-223.5059,46.6951,-1755.638,Normal
Normal-16,RightKnee,1,-168.0383,-383.0403,-1716.938,Normal
Normal-16,RightFoot,1,-162.6516,-707.6018,-1695.73,Normal
Normal-16,Head,16,-343.7635,723.3403,-1816.343,Normal
Normal-16,Neck,16,-331.4567,544.2755,-1835.355,Normal
Normal-16,Torso,17,-321.674,185.2226,-1821.076,Normal
Normal-16,Waist,17,-316.3818,126.1534,-1761.62,Normal
Normal-16,LeftShoulder,17,-522.1947,459.1821,-1831.449,Normal
Normal-16,LeftElbow,17,-739.5223,510.6351,-1810.75,Normal
Normal-16,LeftWrist,17,-879.9109,676.2691,-1744.22,Normal
Normal-16,LeftHand,17,-916.8414,728.8267,-1742.201,Normal
Normal-16,RightShoulder,17,-162.9169,448.7597,-1850.012,Normal
Normal-16,RightElbow,17,-15.46266,230.802,-1851.744,Normal
Normal-16,RightWrist,17,64.90205,16.23765,-1735.988,Normal
Normal-16,RightHand,17,77.61815,-65.13615,-1713.345,Normal
Normal-16,LeftHip,17,-393.8372,44.95507,-1736.535,Normal
Normal-16,LeftKnee,17,-429.3772,-358.6258,-1722.252,Normal
Normal-16,LeftFoot,17,-435.6429,-673.1543,-1635.497,Normal
Normal-16,RightHip,17,-233.5588,47.46979,-1753.419,Normal
Normal-16,RightKnee,17,-174.5969,-382.6224,-1715.031,Normal
Normal-16,RightFoot,17,-161.4318,-709.4189,-1694.257,Normal
Normal-16,Head,56,-358.1884,726.4078,-1817.735,Normal
Normal-16,Neck,56,-344.9966,546.7166,-1834.774,Normal
Normal-16,Torso,56,-334.9346,186.6906,-1819.391,Normal
Normal-16,Waist,56,-330.1199,127.5414,-1759.67,Normal
Normal-16,LeftShoulder,56,-540.9706,463.0984,-1833.02,Normal
Normal-16,LeftElbow,56,-758.6525,512.2458,-1815.487,Normal
Normal-16,LeftWrist,56,-890.6885,685.7629,-1753.157,Normal
Normal-16,LeftHand,56,-934.7005,743.6019,-1736.992,Normal
Normal-16,RightShoulder,57,-179.6907,449.983,-1847.163,Normal
Normal-16,RightElbow,57,-33.48342,232.0101,-1848.373,Normal
Normal-16,RightWrist,57,53.6558,13.33894,-1728.04,Normal
Normal-16,RightHand,57,61.0719,-67.48685,-1706.011,Normal
Normal-16,LeftHip,57,-406.1608,45.97982,-1734.566,Normal
Normal-16,LeftKnee,57,-436.6518,-360.2824,-1719.862,Normal
Normal-16,LeftFoot,57,-444.2907,-684.8393,-1633.971,Normal
Normal-16,RightHip,57,-248.6017,49.50209,-1750.994,Normal
Normal-16,RightKnee,57,-179.0067,-387.1569,-1712.976,Normal
Normal-16,RightFoot,57,-51.84575,-698.9497,-1773.285,Normal
