@RELATION Moviment-Analysis
@ATTRIBUTE	user	{AndersonJose, Francisco, AndersonSantos}
@ATTRIBUTE	joint	{LeftHand, RightHand, LeftFoot, RightFoot}
@ATTRIBUTE	TIME	NUMERIC
@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	z	NUMERIC
@ATTRIBUTE	class	{lento, normal}

@DATA
Control5,Head,0,-440.6886,332.9847,-3119.561,Health
Control5,Neck,0,-497.8679,138.593,-3054.07,Health
Control5,Torso,0,-520.517,-152.7772,-2999.629,Health
Control5,Waist,0,-488.3844,-193.5349,-2948.716,Health
Control5,LeftShoulder,0,-649.9752,198.898,-2909.552,Health
Control5,LeftElbow,0,-725.2021,374.1694,-2745.406,Health
Control5,LeftWrist,0,-759.5805,577.9564,-2626.767,Health
Control5,LeftHand,0,-780.6509,655.6239,-2553.698,Health
Control5,RightShoulder,0,-331.1529,-20.6438,-3103.052,Health
Control5,RightElbow,0,-374.067,-293.2956,-3226.04,Health
Control5,RightWrist,0,-291.9814,-504.1559,-3263.544,Health
Control5,RightHand,0,-293.8253,-536.8939,-3214.963,Health
Control5,LeftHip,0,-551.4564,-259.3532,-2851.398,Health
Control5,LeftKnee,0,-546.5932,-689.9854,-2751.07,Health
Control5,LeftFoot,0,-508.3977,-1091.04,-2620.048,Health
Control5,RightHip,0,-420.5179,-327.6109,-2975.051,Health
Control5,RightKnee,0,-281.1648,-664.1854,-2658.663,Health
Control5,RightFoot,0,-252.1293,-1010.341,-2441.981,Health
Control5,Head,40,-443.1814,269.803,-3098.739,Health
Control5,Neck,40,-501.2495,106.1912,-3039.806,Health
Control5,Torso,40,-533.5244,-234.5289,-2969.017,Health
Control5,Waist,40,-507.0818,-285.0343,-2911.824,Health
Control5,LeftShoulder,40,-625.7833,54.64326,-2922.783,Health
Control5,LeftElbow,40,-701.7404,291.1249,-2704.859,Health
Control5,LeftWrist,40,-725.6599,487.5479,-2570.577,Health
Control5,LeftHand,40,-733.8464,551.2464,-2522.328,Health
Control5,RightShoulder,40,-334.5345,-53.04556,-3088.788,Health
Control5,RightElbow,40,-386.8373,-306.0453,-3227.996,Health
Control5,RightWrist,40,-336.5738,-533.904,-3237.56,Health
Control5,RightHand,40,-314.1166,-629.0661,-3204.043,Health
Control5,LeftHip,40,-582.2159,-331.3687,-2838.881,Health
Control5,LeftKnee,40,-540.8706,-707.9988,-2741.029,Health
Control5,LeftFoot,40,-567.1198,-1125.577,-2652.585,Health
Control5,RightHip,40,-434.0453,-393.9616,-2928.857,Health
Control5,RightKnee,40,-310.69,-696.3922,-2655.566,Health
Control5,RightFoot,40,-256.3412,-1008.938,-2441.325,Health
Control5,Head,70,-434.1542,250.4248,-3099.851,Health
Control5,Neck,70,-504.7372,71.65763,-3036.57,Health
Control5,Torso,70,-536.537,-260.3349,-2963.064,Health
Control5,Waist,70,-508.5354,-310.7151,-2906.154,Health
Control5,LeftShoulder,70,-619.6479,28.77055,-2915.357,Health
Control5,LeftElbow,70,-702.2304,225.5885,-2685.163,Health
Control5,LeftWrist,70,-712.7592,414.7538,-2523.581,Health
Control5,LeftHand,70,-712.0871,475.6601,-2446.837,Health
Control5,RightShoulder,70,-338.0222,-87.57914,-3085.552,Health
Control5,RightElbow,70,-399.6624,-338.7814,-3236.715,Health
